KIT;KIT2;Poste;Fileiras;Graus;Região;Módulo;Módulos;Qtd;Produto;Custo Unit;Custo Total;Custo/Mód;Preço S/ Impostos;TABELA PREÇO;Majorado;Tabela 18%;Tabela 7%;PREÇO DA MESA /MÓDULO
;SOLO 2 FILEIRAS BIPOSTE 15 GRAUS REGIAO 1 ;Biposte;2;15;1;1303;80;8;SOLOGRAMPTERM1;1.25;10.02;0.13;0.21;0.23;0.25;0.28;0.25;180.39
SOLO 2 FILEIRAS  BIPOSTE 15 GRAUS REGIAO 2 1134;SOLO 2 FILEIRAS BIPOSTE 15 GRAUS REGIAO 2 ;Biposte;2;15;2;1134;80;16;PTM15BIPOSTE01;225.48;3607.66;45.1;73.93;81.46;90.51;101.62;88.27;158.58999999999997
;SOLO 2 FILEIRAS BIPOSTE 15 GRAUS REGIAO 2 ;Biposte;2;15;2;1134;80;4;SL002C200X000BRT;30.7;122.79;1.53;2.52;2.77;3.08;3.46;3.0;158.58999999999997
;SOLO 2 FILEIRAS BIPOSTE 15 GRAUS REGIAO 2 ;Biposte;2;15;2;1134;80;44;SL002C407X000BRT;62.47;2748.69;34.36;56.33;62.07;68.96;77.42;67.25;158.58999999999997
;SOLO 2 FILEIRAS BIPOSTE 15 GRAUS REGIAO 2 ;Biposte;2;15;2;1134;80;44;EFSALJUNCAO400;3.91;171.9;2.15;3.52;3.88;4.31;4.84;4.21;158.58999999999997
;SOLO 2 FILEIRAS BIPOSTE 15 GRAUS REGIAO 2 ;Biposte;2;15;2;1134;80;16;EFSALKITTRAV04;15.82;253.06;3.16;5.19;5.71;6.35;7.13;6.19;158.58999999999997
;SOLO 2 FILEIRAS BIPOSTE 15 GRAUS REGIAO 2 ;Biposte;2;15;2;1134;80;156;PSGRAMPINTSMART2;0.7;109.51;1.37;2.24;2.47;2.75;3.08;2.68;158.58999999999997
;SOLO 2 FILEIRAS BIPOSTE 15 GRAUS REGIAO 2 ;Biposte;2;15;2;1134;80;8;SOLOGRAMPTERM1;1.25;10.02;0.13;0.21;0.23;0.25;0.28;0.25;158.58999999999997
SOLO 2 FILEIRAS BIPOSTE 15 GRAUS REGIAO 2 1303;SOLO 2 FILEIRAS BIPOSTE 15 GRAUS REGIAO 2 ;Biposte;2;15;2;1303;80;19;PTM15BIPOSTE02;229.39;4358.4;54.48;89.31;98.41;109.35;122.77;106.64;185.62
;SOLO 2 FILEIRAS BIPOSTE 15 GRAUS REGIAO 2 ;Biposte;2;15;2;1303;80;4;SL002C407X000BRT;62.47;249.88;3.12;5.12;5.64;6.27;7.04;6.11;185.62
;SOLO 2 FILEIRAS BIPOSTE 15 GRAUS REGIAO 2 ;Biposte;2;15;2;1303;80;56;SL002C350X000BRT;53.72;3008.39;37.6;61.65;67.93;75.48;84.74;73.61;185.62
;SOLO 2 FILEIRAS BIPOSTE 15 GRAUS REGIAO 2 ;Biposte;2;15;2;1303;80;56;EFSALJUNCAO400;3.91;218.78;2.73;4.48;4.94;5.49;6.16;5.35;185.62
;SOLO 2 FILEIRAS BIPOSTE 15 GRAUS REGIAO 2 ;Biposte;2;15;2;1303;80;18;EFSALCONTVENT310;14.76;265.76;3.32;5.45;6.0;6.67;7.49;6.5;185.62
;SOLO 2 FILEIRAS BIPOSTE 15 GRAUS REGIAO 2 ;Biposte;2;15;2;1303;80;156;PSGRAMPINTSMART2;0.7;109.51;1.37;2.24;2.47;2.75;3.08;2.68;185.62
;SOLO 2 FILEIRAS BIPOSTE 15 GRAUS REGIAO 2 ;Biposte;2;15;2;1303;80;8;SOLOGRAMPTERM1;1.25;10.02;0.13;0.21;0.23;0.25;0.28;0.25;185.62
SOLO 2 FILEIRAS  BIPOSTE 15 GRAUS REGIAO 3 1134;SOLO 2 FILEIRAS BIPOSTE 15 GRAUS REGIAO 3 ;Biposte;2;15;3;1134;80;18;PTM15BIPOSTE01;225.48;4058.61;50.73;83.17;91.65;101.83;114.32;99.31;168.98999999999998
;SOLO 2 FILEIRAS BIPOSTE 15 GRAUS REGIAO 3 ;Biposte;2;15;3;1134;80;4;SL002C200X000BRT;30.7;122.79;1.53;2.52;2.77;3.08;3.46;3.0;168.98999999999998
;SOLO 2 FILEIRAS BIPOSTE 15 GRAUS REGIAO 3 ;Biposte;2;15;3;1134;80;44;SL002C407X000BRT;62.47;2748.69;34.36;56.33;62.07;68.96;77.42;67.25;168.98999999999998
;SOLO 2 FILEIRAS BIPOSTE 15 GRAUS REGIAO 3 ;Biposte;2;15;3;1134;80;44;EFSALJUNCAO400;3.91;171.9;2.15;3.52;3.88;4.31;4.84;4.21;168.98999999999998
;SOLO 2 FILEIRAS BIPOSTE 15 GRAUS REGIAO 3 ;Biposte;2;15;3;1134;80;18;EFSALCONTVENT290;14.57;262.28;3.28;5.37;5.92;6.58;7.39;6.42;168.98999999999998
;SOLO 2 FILEIRAS BIPOSTE 15 GRAUS REGIAO 3 ;Biposte;2;15;3;1134;80;156;PSGRAMPINTSMART2;0.7;109.51;1.37;2.24;2.47;2.75;3.08;2.68;168.98999999999998
